model	dataset	trained	epoch_no	perturb_mec	sigma	epsilon	clip_norm	batch_size	num_images	restarts	OPTIM	cost_fn	indices	weights	scoring	init	tv	opt_score	psnr	test_mse	feat_mse	target_id	timing	dtype	val_acc	rec_img	gt_img
resnet34	CIFAR10	False	5	ALG_No_Weig	5e-06	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0265	19.0555	0.1980	0.1518	3719	1:10:45.297889	torch.float32	1.0		
resnet34	CIFAR10	False	5	ALG_No_Weig	5e-06	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0257	16.4325	0.3621	0.0499	7620	1:13:14.491736	torch.float32	1.0		
resnet34	CIFAR10	False	5	ALG_No_Weig	5e-06	10	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0362	12.4567	0.9046	0.0470	5916	1:14:51.121720	torch.float32	1.0		
mnist cnn	MNIST	False	5	ALG_rGaussAWeig19	5e-06	1	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0004	58.2968	0.0000	0.0000	9222	0:04:46.025366	torch.float32	1.0		
mnist cnn	MNIST	False	5	ALG_rGaussAWeig19	5e-06	1	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0005	61.7221	0.0000	0.0000	3779	0:04:46.487702	torch.float32	1.0		
mnist cnn	MNIST	False	5	ALG_rGaussAWeig19	5e-06	1	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0004	55.0529	0.0000	0.0000	4756	0:04:48.948134	torch.float32	1.0		
mnist cnn	MNIST	False	5	ALG_rGaussAWeig19	5e-06	1	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0006	45.0809	0.0003	0.0000	5272	0:05:09.331427	torch.float32	1.0		
mnist cnn	MNIST	False	5	ALG_rGaussAWeig19	5e-06	1	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0008	47.9960	0.0002	0.0000	5150	0:05:03.262106	torch.float32	1.0		
resnet18	CIFAR10	False	3	ALG_No_Weig	5e-06	1	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0213	22.3025	0.0937	0.0019	6548	0:18:07.037444	torch.float32	1.0		
resnet18	CIFAR10	False	3	ALG_No_Weig	5e-06	1	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0119	23.4913	0.0713	0.0013	7345	0:17:32.822080	torch.float32	1.0		
resnet18	CIFAR10	False	3	ALG_No_Weig	5e-06	1	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0076	32.0019	0.0100	0.0000	6873	0:17:43.065570	torch.float32	1.0		
resnet18	CIFAR10	False	3	ALG_No_Weig	5e-06	1	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0163	21.0394	0.1254	0.0008	8812	0:17:55.014231	torch.float32	1.0		
resnet18	CIFAR10	False	3	ALG_No_Weig	5e-06	1	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0185	22.3038	0.0937	0.0001	8579	0:18:13.299226	torch.float32	1.0		
resnet34	CIFAR10	False	4	ALG_No_Weig	5e-06	1	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0111	21.7115	0.1074	0.0256	9242	0:37:17.488834	torch.float32	1.0		
resnet34	CIFAR10	False	4	ALG_No_Weig	5e-06	1	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0081	21.8006	0.1052	2.9908	4425	0:37:19.600123	torch.float32	1.0		
resnet34	CIFAR10	False	4	ALG_No_Weig	5e-06	1	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0067	30.5367	0.0141	0.0014	4625	0:37:23.523554	torch.float32	1.0		
resnet34	CIFAR10	False	4	ALG_No_Weig	5e-06	1	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0189	21.3581	0.1165	2.2862	4315	0:37:21.470855	torch.float32	1.0		
resnet34	CIFAR10	False	4	ALG_No_Weig	5e-06	1	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.9086	4.8729	5.1858	23.1965	4579	0:37:22.482459	torch.float32	1.0		
resnet34	CIFAR10	False	2	ALG_No_Weig	5e-06	1	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0085	23.0629	0.0787	0.0307	1312	0:24:42.357831	torch.float32	1.0		
resnet34	CIFAR10	False	2	ALG_No_Weig	5e-06	1	4	50	1	1	ours	sim	def	equal	loss	randn	0.0001	0.0112	18.9546	0.2026	0.4267	6205	0:23:57.396774	torch.float32	1.0		
